title;text_cleaning;title_preprocessing;target_class
Taming Your Outer Child: Overcoming Self-Sabotage and Healing from Abandonment;taming outer child overcoming selfsabotage healing abandonment;['taming', 'outer', 'child', 'overcoming', 'selfsabotage', 'healing', 'abandonment'];general
2015 Lighthouses Mini Wall Calendar Ziga Media, LLC;lighthouse mini wall calendar ziga medium llc;['lighthouse', 'mini', 'wall', 'calendar', 'ziga', 'medium', 'llc'];general
Parker Pyne Investigates: A Parker Pyne Collection;parker pyne investigates parker pyne collection;['parker', 'pyne', 'investigates', 'parker', 'pyne', 'collection'];general
Helping the Stork: The Choices and Challenges of Donor Insemination;helping stork choice challenge donor insemination;['helping', 'stork', 'choice', 'challenge', 'donor', 'insemination'];general
2016 Bible Inspirations Wall Calendar;bible inspiration wall calendar;['bible', 'inspiration', 'wall', 'calendar'];general
The Worry Solution: Using Breakthrough Brain Science to Turn Stress and Anxiety into Confidence and Happiness;worry solution using breakthrough brain science turn stress anxiety confidence happiness;['worry', 'solution', 'using', 'breakthrough', 'brain', 'science', 'turn', 'stress', 'anxiety', 'confidence', 'happiness'];general
Crimson Peak: The Official Movie Novelization;crimson peak official movie novelization;['crimson', 'peak', 'official', 'movie', 'novelization'];general
Engineering Mechanics: Dynamics;engineering mechanic dynamic;['engineering', 'mechanic', 'dynamic'];sains-tech
Blended: Writers on the Stepfamily Experience;blended writer stepfamily experience;['blended', 'writer', 'stepfamily', 'experience'];general
Glenny's Handbook to the Flower Garden and Greenhouse - Comprising the Description, Cultivation, and Management of All the Popular Flowers and Plants Grown in This Country - With a Calendar of Monthly Operations for the Flower Garden and Greenhouse (Paperback) - Common;glennys handbook flower garden greenhouse comprising description cultivation management popular flower plant grown country calendar monthly operation flower garden greenhouse paperback common;['glennys', 'handbook', 'flower', 'garden', 'greenhouse', 'comprising', 'description', 'cultivation', 'management', 'popular', 'flower', 'plant', 'grown', 'country', 'calendar', 'monthly', 'operation', 'flower', 'garden', 'greenhouse', 'paperback', 'common'];social-humanaria
Porsche 917 Owners' Workshop Manual 1969 onwards (all models): An insight into the design, engineering, maintenance and operation of Porsche's legendary sports-racing car;porsche owner workshop manual onwards model insight design engineering maintenance operation porsches legendary sportsracing car;['porsche', 'owner', 'workshop', 'manual', 'onwards', 'model', 'insight', 'design', 'engineering', 'maintenance', 'operation', 'porsches', 'legendary', 'sportsracing', 'car'];sains-tech
The Rhythm of the August Rain: A Novel (A Shadrack Myers Mystery);rhythm august rain novel shadrack myers mystery;['rhythm', 'august', 'rain', 'novel', 'shadrack', 'myers', 'mystery'];general
Overwhelmed - Second Edition;overwhelmed second edition;['overwhelmed', 'second', 'edition'];general
Cupcakes 2016 Wall Calendar;cupcake wall calendar;['cupcake', 'wall', 'calendar'];general
The Life Organizer: A Woman's Guide to a Mindful Year;life organizer woman guide mindful year;['life', 'organizer', 'woman', 'guide', 'mindful', 'year'];general
Maximum Boost: Designing, Testing and Installing Turbocharger Systems (Engineering and Performance);maximum boost designing testing installing turbocharger system engineering performance;['maximum', 'boost', 'designing', 'testing', 'installing', 'turbocharger', 'system', 'engineering', 'performance'];sains-tech
Maximize Your Vitality & Potency;maximize vitality potency;['maximize', 'vitality', 'potency'];general
Lingerie Calendar - 2016 Wall calendars - Pin up Girl Calendar - Sexy Calendar - Monthly Wall Calendar by Avonside;lingerie calendar wall calendar pin girl calendar sexy calendar monthly wall calendar avonside;['lingerie', 'calendar', 'wall', 'calendar', 'pin', 'girl', 'calendar', 'sexy', 'calendar', 'monthly', 'wall', 'calendar', 'avonside'];general
Killers: A Novel;killer novel;['killer', 'novel'];general
Moleskine 2014 Star Wars Limited Edition Daily Planner, 12 Month, Pocket, Black, Hard Cover (3.5 x 5.5) (Planners & Datebooks);moleskine star war limited edition daily planner month pocket black hard cover x planner datebooks;['moleskine', 'star', 'war', 'limited', 'edition', 'daily', 'planner', 'month', 'pocket', 'black', 'hard', 'cover', 'x', 'planner', 'datebooks'];social-humanaria
Peaceful Parent, Happy Siblings: How to Stop the Fighting and Raise Friends for Life;peaceful parent happy sibling stop fighting raise friend life;['peaceful', 'parent', 'happy', 'sibling', 'stop', 'fighting', 'raise', 'friend', 'life'];general
The Tibetan Book of Living and Dying: The Spiritual Classic & International Bestseller: 20th Anniversary Edition;tibetan book living dying spiritual classic international bestseller th anniversary edition;['tibetan', 'book', 'living', 'dying', 'spiritual', 'classic', 'international', 'bestseller', 'th', 'anniversary', 'edition'];social-humanaria
Ishmael: An Adventure of the Mind and Spirit;ishmael adventure mind spirit;['ishmael', 'adventure', 'mind', 'spirit'];general
Sea Otter Cove: Introducing relaxation breathing to lower anxiety, decrease stress and control anger while promoting peaceful sleep;sea otter cove introducing relaxation breathing lower anxiety decrease stress control anger promoting peaceful sleep;['sea', 'otter', 'cove', 'introducing', 'relaxation', 'breathing', 'lower', 'anxiety', 'decrease', 'stress', 'control', 'anger', 'promoting', 'peaceful', 'sleep'];general
2012 International Plumbing Code (Includes International Private Sewage Disposal Code) (International Code Council Series);international plumbing code includes international private sewage disposal code international code council series;['international', 'plumbing', 'code', 'includes', 'international', 'private', 'sewage', 'disposal', 'code', 'international', 'code', 'council', 'series'];general
Children's Book Illustration (CL53341);childrens book illustration cl;['childrens', 'book', 'illustration', 'cl'];general
Playing Scared: A History and Memoir of Stage Fright;playing scared history memoir stage fright;['playing', 'scared', 'history', 'memoir', 'stage', 'fright'];social-humanaria
Desperate: Hope for the Mom Who Needs to Breathe;desperate hope mom need breathe;['desperate', 'hope', 'mom', 'need', 'breathe'];general
2015 In the Garden of Thoughts Planner;garden thought planner;['garden', 'thought', 'planner'];general
The Castlemaine Murders: A Phryne Fisher Mystery;castlemaine murder phryne fisher mystery;['castlemaine', 'murder', 'phryne', 'fisher', 'mystery'];general
Aircraft: The Definitive Visual History;aircraft definitive visual history;['aircraft', 'definitive', 'visual', 'history'];social-humanaria
The Young Peacemaker: Teaching Students to Respond to Conflict in God's Way;young peacemaker teaching student respond conflict god way;['young', 'peacemaker', 'teaching', 'student', 'respond', 'conflict', 'god', 'way'];general
Rage: A Step-by-Step Guide to Overcoming Explosive Anger;rage stepbystep guide overcoming explosive anger;['rage', 'stepbystep', 'guide', 'overcoming', 'explosive', 'anger'];general
Wild 2015-2016 Engagement Calendar: Wildlife Photography by Thomas D. Mangelsen;wild engagement calendar wildlife photography thomas mangelsen;['wild', 'engagement', 'calendar', 'wildlife', 'photography', 'thomas', 'mangelsen'];general
Bosch Fuel Injection and Engine Management: How to Understand, Service and Modify;bosch fuel injection engine management understand service modify;['bosch', 'fuel', 'injection', 'engine', 'management', 'understand', 'service', 'modify'];social-humanaria
Howdunit: How Crimes Are Committed and Solved;howdunit crime committed solved;['howdunit', 'crime', 'committed', 'solved'];general
The Stepdad's Guide: Resolving Family Conflict;stepdads guide resolving family conflict;['stepdads', 'guide', 'resolving', 'family', 'conflict'];general
Insight from the Dalai Lama 2016 Day-to-Day Calendar;insight dalai lama daytoday calendar;['insight', 'dalai', 'lama', 'daytoday', 'calendar'];general
Classic American Cars;classic american car;['classic', 'american', 'car'];general
Father to Son, Revised Edition: Life Lessons on Raising a Boy;father son revised edition life lesson raising boy;['father', 'son', 'revised', 'edition', 'life', 'lesson', 'raising', 'boy'];general
Split Image (Jesse Stone);split image jesse stone;['split', 'image', 'jesse', 'stone'];general
The Nightmare Before Christmas Wall Calendar (2016);nightmare christmas wall calendar;['nightmare', 'christmas', 'wall', 'calendar'];general
How to Paint Your Car: Revised & Updated (Motorbooks Workshop);paint car revised updated motorbooks workshop;['paint', 'car', 'revised', 'updated', 'motorbooks', 'workshop'];general
Raising Parents: Attachment, Representation, and Treatment;raising parent attachment representation treatment;['raising', 'parent', 'attachment', 'representation', 'treatment'];general
A Cruising Guide to Puget Sound and the San Juan Islands: Olympia to Port Angeles;cruising guide puget sound san juan island olympia port angeles;['cruising', 'guide', 'puget', 'sound', 'san', 'juan', 'island', 'olympia', 'port', 'angeles'];general
Peanuts 2016 Mini Wall Calendar;peanut mini wall calendar;['peanut', 'mini', 'wall', 'calendar'];general
Life Worth Living: How Someone You Love Can Still Enjoy Life in a Nursing Home - The Eden Alternative in Action;life worth living someone love still enjoy life nursing home eden alternative action;['life', 'worth', 'living', 'someone', 'love', 'still', 'enjoy', 'life', 'nursing', 'home', 'eden', 'alternative', 'action'];general
How to Write Mysteries (Genre Writing Series);write mystery genre writing series;['write', 'mystery', 'genre', 'writing', 'series'];general
Talk To Me Like I'm Someone You Love: Flash Cards for Real Life (Tarcher Inspiration Cards);talk like im someone love flash card real life tarcher inspiration card;['talk', 'like', 'im', 'someone', 'love', 'flash', 'card', 'real', 'life', 'tarcher', 'inspiration', 'card'];general
2014 Architecture Wall Calendar;architecture wall calendar;['architecture', 'wall', 'calendar'];sains-tech
Think Confident, Be Confident for Teens: A Cognitive Therapy Guide to Overcoming Self-Doubt and Creating Unshakable Self-Esteem (The Instant Help Solutions Series);think confident confident teen cognitive therapy guide overcoming selfdoubt creating unshakable selfesteem instant help solution series;['think', 'confident', 'confident', 'teen', 'cognitive', 'therapy', 'guide', 'overcoming', 'selfdoubt', 'creating', 'unshakable', 'selfesteem', 'instant', 'help', 'solution', 'series'];general
The Vig;vig;['vig'];general
Womens Wit 2015 Calendar: A Year of Wise and Witty Quotations on Women (Multilingual Edition);woman wit calendar year wise witty quotation woman multilingual edition;['woman', 'wit', 'calendar', 'year', 'wise', 'witty', 'quotation', 'woman', 'multilingual', 'edition'];general
Their Name Is Today: Reclaiming Childhood in a Hostile World;name today reclaiming childhood hostile world;['name', 'today', 'reclaiming', 'childhood', 'hostile', 'world'];general
Eighth Grave After Dark (Charley Davidson Series);eighth grave dark charley davidson series;['eighth', 'grave', 'dark', 'charley', 'davidson', 'series'];general
30 Days of Sex Talks for Ages 8-11: Empowering Your Child with Knowledge of Sexual Intimacy (Volume 2);day sex talk age empowering child knowledge sexual intimacy volume;['day', 'sex', 'talk', 'age', 'empowering', 'child', 'knowledge', 'sexual', 'intimacy', 'volume'];general
Claws for Alarm (Nick and Nora Mysteries);claw alarm nick nora mystery;['claw', 'alarm', 'nick', 'nora', 'mystery'];social-humanaria
NeuroTribes: The Legacy of Autism and the Future of Neurodiversity;neurotribes legacy autism future neurodiversity;['neurotribes', 'legacy', 'autism', 'future', 'neurodiversity'];sains-tech
Black Cat Vols. 1-31 - The Salem Massachusetts Mini Mysteries;black cat vols salem massachusetts mini mystery;['black', 'cat', 'vols', 'salem', 'massachusetts', 'mini', 'mystery'];social-humanaria
Too Good to Leave, Too Bad to Stay: A Step-by-Step Guide to Help You Decide Whether to Stay In or Get Out of Your Relationship;good leave bad stay stepbystep guide help decide whether stay get relationship;['good', 'leave', 'bad', 'stay', 'stepbystep', 'guide', 'help', 'decide', 'whether', 'stay', 'get', 'relationship'];social-humanaria
Florist Grump: A Flower Shop Mystery;florist grump flower shop mystery;['florist', 'grump', 'flower', 'shop', 'mystery'];general
Making Ends Meet: How Single Mothers Survive Welfare and Low-Wage Work (European Studies);making end meet single mother survive welfare lowwage work european study;['making', 'end', 'meet', 'single', 'mother', 'survive', 'welfare', 'lowwage', 'work', 'european', 'study'];general
